
=== Monitor started 2026-03-24 21:18:04.299468 ===
[2026-03-24 21:18:04] Complete | 33% | 26.42mi | 0V | 0kW
[2026-03-24 21:23:06] Complete | 33% | 26.42mi | NoneV | NonekW
[2026-03-24 21:28:08] Complete | 33% | 26.42mi | NoneV | NonekW
[2026-03-24 21:33:09] Complete | 33% | 26.42mi | 0V | 0kW
[2026-03-24 21:38:09] Complete | 33% | 26.0mi | 0V | 0kW
[2026-03-24 21:43:10] Complete | 33% | 26.0mi | 0V | 0kW
[2026-03-24 21:48:11] Complete | 33% | 26.0mi | 0V | 0kW
[2026-03-24 21:53:11] Complete | 33% | 26.0mi | 0V | 0kW
[2026-03-24 21:58:12] Complete | 33% | 26.0mi | 0V | 0kW
[2026-03-24 22:03:13] Complete | 33% | 26.0mi | 0V | 0kW
[2026-03-24 22:08:14] Complete | 33% | 26.0mi | 0V | 0kW
[2026-03-24 22:13:14] Complete | 33% | 26.0mi | 0V | 0kW
[2026-03-24 22:23:24] Complete | 33% | 26.0mi | 0V | 0kW
[2026-03-24 22:28:25] Complete | 33% | 26.0mi | 0V | 0kW
[2026-03-24 22:33:26] Complete | 33% | 26.0mi | 0V | 0kW
[2026-03-24 22:38:26] Complete | 33% | 26.0mi | 0V | 0kW
[2026-03-24 22:48:38] Complete | 33% | 26.0mi | 0V | 0kW
[2026-03-24 22:53:38] Complete | 33% | 26.0mi | 0V | 0kW
[2026-03-24 22:58:39] Complete | 33% | 25.58mi | 0V | 0kW
[2026-03-24 23:03:39] Complete | 33% | 25.58mi | 0V | 0kW
[2026-03-24 23:08:40] Complete | 33% | 25.58mi | 0V | 0kW
[2026-03-24 23:13:41] Complete | 33% | 25.58mi | 0V | 0kW
[2026-03-24 23:18:42] Complete | 33% | 25.58mi | 0V | 0kW
[2026-03-24 23:23:43] Complete | 70% | 3.87mi | 0V | 0kW *** CHANGED ***
[2026-03-24 23:28:43] Complete | 70% | 3.55mi | 0V | 0kW
[2026-03-24 23:33:44] Complete | 70% | 3.55mi | 0V | 0kW
[2026-03-24 23:38:44] Complete | 70% | 3.55mi | 0V | 0kW
[2026-03-24 23:43:45] Complete | 67% | 3.23mi | 0V | 0kW *** CHANGED ***
[2026-03-24 23:48:46] Complete | 67% | 3.23mi | 0V | 0kW
[2026-03-24 23:53:47] Complete | 67% | 3.23mi | 0V | 0kW
[2026-03-24 23:58:47] Complete | 67% | 3.23mi | 0V | 0kW
[2026-03-25 00:03:48] Complete | 67% | 2.9mi | 0V | 0kW
[2026-03-25 00:08:49] Complete | 63% | 2.9mi | 0V | 0kW *** CHANGED ***
[2026-03-25 00:13:49] Complete | 63% | 2.9mi | 0V | 0kW
[2026-03-25 00:18:50] Complete | 63% | 2.9mi | 0V | 0kW
[2026-03-25 00:23:51] Complete | 63% | 2.9mi | 0V | 0kW
[2026-03-25 00:28:52] Complete | 63% | 2.58mi | 0V | 0kW
[2026-03-25 00:33:53] Complete | 60% | 2.58mi | 0V | 0kW *** CHANGED ***
[2026-03-25 00:38:53] Complete | 60% | 2.58mi | 0V | 0kW
[2026-03-25 00:43:54] Complete | 60% | 2.58mi | 0V | 0kW
[2026-03-25 00:48:55] Complete | 60% | 2.58mi | 0V | 0kW
[2026-03-25 00:53:55] Complete | 60% | 2.26mi | 0V | 0kW
[2026-03-25 00:58:56] Complete | 57% | 2.26mi | 0V | 0kW *** CHANGED ***
[2026-03-25 01:03:57] Complete | 59% | 2.26mi | 0V | 0kW *** CHANGED ***
[2026-03-25 01:08:57] Complete | 59% | 2.26mi | 0V | 0kW
[2026-03-25 01:13:58] Complete | 59% | 1.94mi | 0V | 0kW
[2026-03-25 01:18:58] Complete | 59% | 1.94mi | 0V | 0kW
[2026-03-25 01:23:59] Complete | 59% | 1.94mi | 0V | 0kW
[2026-03-25 01:29:00] Complete | 55% | 1.94mi | 0V | 0kW *** CHANGED ***
[2026-03-25 01:34:00] Complete | 55% | 1.94mi | 0V | 0kW
[2026-03-25 01:39:01] Complete | 55% | 1.61mi | 0V | 0kW
[2026-03-25 01:44:02] Complete | 55% | 1.61mi | 0V | 0kW
[2026-03-25 01:49:04] Complete | 55% | 1.61mi | 0V | 0kW
[2026-03-25 01:54:07] Complete | 52% | 1.61mi | 0V | 0kW *** CHANGED ***
[2026-03-25 01:59:08] Complete | 52% | 1.61mi | 0V | 0kW
[2026-03-25 02:04:11] Complete | 52% | 1.29mi | 0V | 0kW
[2026-03-25 02:09:13] Complete | 52% | 1.29mi | 0V | 0kW
[2026-03-25 02:14:15] Complete | 52% | 1.29mi | 0V | 0kW
[2026-03-25 02:19:17] Complete | 52% | 1.29mi | 0V | 0kW
[2026-03-25 02:24:19] Complete | 48% | 1.29mi | 0V | 0kW *** CHANGED ***
[2026-03-25 02:29:21] Complete | 48% | 0.97mi | 0V | 0kW
[2026-03-25 02:34:23] Complete | 48% | 0.97mi | 0V | 0kW
[2026-03-25 02:39:25] Complete | 48% | 0.97mi | 0V | 0kW
[2026-03-25 02:44:27] Complete | 48% | 0.97mi | 0V | 0kW
[2026-03-25 02:49:29] Complete | 48% | 0.65mi | 0V | 0kW
[2026-03-25 02:54:31] Complete | 48% | 0.65mi | 0V | 0kW
[2026-03-25 02:59:33] Complete | 48% | 0.65mi | 0V | 0kW
[2026-03-25 03:04:35] Complete | 48% | 0.65mi | 0V | 0kW
[2026-03-25 03:09:37] Complete | 48% | 0.65mi | 0V | 0kW
[2026-03-25 03:14:39] Complete | 48% | 0.65mi | 0V | 0kW
[2026-03-25 03:19:41] Complete | 48% | 0.65mi | 0V | 0kW
[2026-03-25 03:24:43] Complete | 48% | 0.65mi | 0V | 0kW
[2026-03-25 03:29:46] None | 48% | 0.65mi | NoneV | NonekW
[2026-03-25 03:34:48] Complete | 55% | 1.94mi | NoneV | NonekW *** CHANGED ***
[2026-03-25 03:39:50] Complete | 0% | 0.0mi | NoneV | NonekW *** CHANGED ***
[2026-03-25 03:44:52] Complete | 0% | 0.0mi | NoneV | NonekW
[2026-03-25 03:49:54] Complete | 0% | 0.0mi | NoneV | NonekW
[2026-03-25 03:54:56] Complete | 35% | 11.29mi | NoneV | NonekW *** CHANGED ***
[2026-03-25 03:59:58] Complete | 24% | 9.76mi | NoneV | NonekW *** CHANGED ***
[2026-03-25 04:05:00] Complete | 24% | 9.27mi | NoneV | NonekW
[2026-03-25 04:10:02] Complete | 24% | 9.27mi | NoneV | NonekW
[2026-03-25 04:15:04] Complete | 34% | 24.59mi | NoneV | NonekW *** CHANGED ***
[2026-03-25 04:20:06] Complete | 34% | 24.59mi | NoneV | NonekW
[2026-03-25 04:25:08] Complete | 34% | 24.59mi | NoneV | NonekW
[2026-03-25 04:30:10] Complete | 34% | 24.59mi | NoneV | NonekW
[2026-03-25 04:35:12] Complete | 37% | 35.33mi | NoneV | NonekW *** CHANGED ***
[2026-03-25 04:40:14] Complete | 37% | 35.33mi | NoneV | NonekW
[2026-03-25 04:45:16] Complete | 37% | 35.33mi | NoneV | NonekW
[2026-03-25 04:50:18] Complete | 37% | 35.33mi | NoneV | NonekW
[2026-03-25 04:55:20] Complete | 44% | 47.41mi | NoneV | NonekW *** CHANGED ***
[2026-03-25 05:00:25] Complete | 38% | 46.45mi | NoneV | NonekW *** CHANGED ***
[2026-03-25 05:05:27] Complete | 38% | 46.45mi | NoneV | NonekW
[2026-03-25 05:10:29] Complete | 43% | 57.51mi | NoneV | NonekW *** CHANGED ***
[2026-03-25 05:15:31] Complete | 43% | 57.51mi | NoneV | NonekW
[2026-03-25 05:20:33] Complete | 48% | 68.04mi | NoneV | NonekW *** CHANGED ***
[2026-03-25 05:25:35] Complete | 48% | 68.04mi | NoneV | NonekW
[2026-03-25 05:30:40] Complete | 48% | 68.04mi | NoneV | NonekW
[2026-03-25 05:35:41] Complete | 48% | 68.04mi | NoneV | NonekW
[2026-03-25 05:40:46] Charging | 49% | 70.6mi | 233V | 9kW *** CHANGED ***
[2026-03-25 05:45:48] Charging | 51% | 73.18mi | 233V | 9kW *** CHANGED ***
[2026-03-25 05:50:51] Charging | 52% | 75.38mi | 237V | 6kW *** CHANGED ***
[2026-03-25 05:55:54] Charging | 53% | 77.21mi | 236V | 6kW *** CHANGED ***
[2026-03-25 06:00:56] Charging | 54% | 79.07mi | 237V | 6kW *** CHANGED ***
[2026-03-25 06:05:58] Charging | 55% | 80.53mi | 236V | 6kW *** CHANGED ***
[2026-03-25 06:11:00] Charging | 56% | 82.01mi | 235V | 5kW *** CHANGED ***
[2026-03-25 06:16:02] Charging | 57% | 83.84mi | 235V | 5kW *** CHANGED ***
[2026-03-25 06:21:04] Charging | 58% | 85.29mi | 234V | 5kW *** CHANGED ***
[2026-03-25 06:26:06] Charging | 59% | 86.78mi | 235V | 5kW *** CHANGED ***
[2026-03-25 06:31:08] Charging | 61% | 90.28mi | 235V | 5kW *** CHANGED ***
[2026-03-25 06:36:10] Charging | 62% | 91.76mi | 236V | 5kW *** CHANGED ***
[2026-03-25 06:41:12] Charging | 62% | 93.22mi | 236V | 6kW *** CHANGED ***
[2026-03-25 06:46:14] Charging | 63% | 94.7mi | 237V | 5kW *** CHANGED ***
[2026-03-25 06:51:16] Charging | 64% | 96.14mi | 238V | 5kW *** CHANGED ***
[2026-03-25 06:56:18] Charging | 65% | 97.99mi | 239V | 5kW *** CHANGED ***
[2026-03-25 07:01:20] Charging | 66% | 99.07mi | 238V | 5kW *** CHANGED ***
[2026-03-25 07:06:22] Charging | 67% | 100.55mi | 237V | 5kW *** CHANGED ***
[2026-03-25 07:11:30] Charging | 68% | 102.0mi | 238V | 5kW *** CHANGED ***
[2026-03-25 07:16:31] Charging | 69% | 103.48mi | 238V | 5kW *** CHANGED ***
